blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
1478 068,1509 N DURHAM ST,BROADWAY EAST,12,EASTERN,9/17/10,39.30803743,-76.59198264
1479 062,1502 N CHAPEL ST,BROADWAY EAST,12,EASTERN,4/8/14,39.30798176,-76.59097662
1592 066,905 N ROSE ST,MILTON-MONTFORD,13,EASTERN,5/30/14,39.30139326,-76.58154718
2282 037,3404 W MULBERRY ST,LOWER EDMONDSON VILLAGE,8,SOUTHWESTERN,11/26/14,39.29205619,-76.67483918
4621 010,4718 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,12/4/14,39.34438165,-76.67104308
0063 036,1039 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,7/28/11,39.3009986,-76.64137925
1590 071,902 N BRADFORD ST,MILTON-MONTFORD,13,EASTERN,11/13/07,39.30122414,-76.58473304
1542 053,1221 N CURLEY ST,BEREA,13,EASTERN,7/10/15,39.3055377,-76.57615246
3012 006,2808 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,2/22/13,39.3105654,-76.66476292
1536 073,1209 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,6/23/06,39.30492152,-76.58524215
0192 071,1938 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,5/12/09,39.28898085,-76.64828286
0300B038,1539 N STRICKER ST,SANDTOWN-WINCHESTER,7,WESTERN,2/29/08,39.30644601,-76.64181563
2407 008,1814 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,1/31/07,39.30853314,-76.66603091
2367 012,2522 RIGGS AVE,BRIDGEVIEW/GREENLAWN,9,WESTERN,5/24/13,39.30085335,-76.65752168
5913 007,3611 BELAIR ROAD,BELAIR-EDISON,13,NORTHEASTERN,10/25/12,39.3244143,-76.5695512
0215 046,18 S CAREY ST,UNION SQUARE,9,SOUTHERN,7/30/15,39.28800083,-76.63835634
4605A048C,3307 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/5/13,39.34638174,-76.67491259
7445 031,2815 MAISEL ST,WESTPORT,10,SOUTHERN,6/23/10,39.26147604,-76.63371809
0273 063,2019 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,4/1/13,39.28396281,-76.64925109
3003 085,3002 HERBERT ST,WALBROOK,7,SOUTHWESTERN,4/11/05,39.30970384,-76.66816238
2138 047,2691 DULANY ST,MILLHILL,9,SOUTHWESTERN,6/14/10,39.27913693,-76.65864013
1647 040,3116 MCELDERRY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,1/23/07,39.29827625,-76.57321922
5408D018,5619 LAURELTON AVE,HAMILTON HILLS,3,NORTHEASTERN,8/13/15,39.35836414,-76.56748767
3413 061,2401 FRANCIS ST,PENN NORTH,7,WESTERN,11/1/07,39.31157716,-76.64022254
4575 015,3711 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,5/10/12,39.34584651,-76.68025491
3244 030,2235 OREM AVE,PARKVIEW/WOODBROOK,7,WESTERN,11/3/05,39.31575913,-76.64758895
0107 064,1922 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,11/1/13,39.29532694,-76.64805757
5053 026,4652 YORK ROAD,KERNEWOOD,4,NORTHERN,8/4/14,39.34567775,-76.6099395
2445 009,1120 POPLAR GROVE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,8/15/08,39.30090561,-76.66575259
0339 039,533 LAURENS ST,UPTON,11,CENTRAL,9/30/11,39.30517827,-76.63408592
7231 043,4121 PASCAL AVE,CURTIS BAY,10,SOUTHERN,1/16/15,39.22773179,-76.59169736
0222 071,2119 BOYD ST,BOYD-BOOTH,9,SOUTHWESTERN,9/21/11,39.28636942,-76.65086957
2475C020,910 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,5/24/13,39.29761719,-76.66754044
0070 017,900 N PAYSON ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,11/18/08,39.29902183,-76.64952249
0708 085,443 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,2/1/13,39.28234066,-76.64113596
5927 050,4322 PARKSIDE DR,BELAIR-EDISON,2,NORTHEASTERN,7/2/15,39.32611749,-76.56341897
3413 044,2435 FRANCIS ST,PENN NORTH,7,WESTERN,2/29/12,39.31208828,-76.64083623
0261 052,220 S BRUCE ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,12/23/08,39.28469053,-76.64442853
2406 008,2815 W NORTH AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,7/25/06,39.30887293,-76.66431498
3303 030,3125 OAKFORD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,7/29/15,39.34046536,-76.66608418
1503 042,1408 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,9/7/07,39.30742151,-76.58450016
0118 107,530 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,8/17/04,39.29455524,-76.64991516
1640 017,632 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,8/2/13,39.29838001,-76.58250842
1128 027,1318 GREENMOUNT AVE,JOHNSTON SQUARE,12,EASTERN,1/18/12,39.30531226,-76.60855092
0521 031,317 W MADISON ST,MOUNT VERNON,11,CENTRAL,2/20/15,39.29821757,-76.62097811
3824 027,2308 GREENMOUNT AVE,BARCLAY,12,EASTERN,7/5/12,39.31610452,-76.60994697
24750,3001 RAYNER AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,6/4/09,39.29628354,-76.6669389
2100 098,2681 EAGLE ST,MILLHILL,9,SOUTHWESTERN,3/19/10,39.27691096,-76.65732915
1553 103,2228 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,1/29/10,39.30423218,-76.58600423
4059A020,738 MCKEWIN AVE,WAVERLY,14,NORTHERN,7/11/14,39.33293319,-76.60484446
4129 007,1622 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,12/11/09,39.3216382,-76.59490434
1592 010,2518 E EAGER ST,MILTON-MONTFORD,13,EASTERN,6/2/11,39.30203048,-76.5819256
0119 109,1912 W FRANKLIN ST,MIDTOWN-EDMONDSON,9,WESTERN,1/30/15,39.29400609,-76.64790255
3011 005A,2013 N DUKELAND ST,WALBROOK,7,SOUTHWESTERN,7/30/15,39.31065874,-76.66380471
3410 054,2641 FRANCIS ST,PENN NORTH,7,WESTERN,4/12/06,39.31467722,-76.64400057
0206 021,2042 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,9/11/07,39.28720437,-76.64973949
0768 097,1220 SARGEANT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,7/25/13,39.28189687,-76.63501375
3307A039,2605 ROSEWOOD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,2/8/12,39.33863192,-76.66430805
4620 097,4808 HOMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,12/19/08,39.34393054,-76.67210865
3630A027,2656 MILES AVE,REMINGTON,12,NORTHERN,12/10/13,39.31930379,-76.62273155
3962 006,1601 CHILTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,8/17/12,39.32735947,-76.59392159
1555 065,2436 E CHASE ST,BIDDLE STREET,13,EASTERN,11/26/06,39.30387068,-76.58290454
0179 025,107 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,3/10/08,39.28997112,-76.64497783
1188 072,1232 E EAGER ST,JOHNSTON SQUARE,12,EASTERN,5/29/15,39.30181199,-76.60065311
3408 003,1545 CLIFTON AVE,PENN NORTH,7,WESTERN,7/15/11,39.31318455,-76.64409324
2387 005,2736 W LAFAYETTE AVE,MOSHER,9,WESTERN,6/5/06,39.2983116,-76.66224027
2470 033,918 POPLAR GROVE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,12/5/06,39.29850962,-76.66564824
3903A030,3801 GREENMOUNT AVE,WAVERLY,4,NORTHERN,9/15/15,39.33571914,-76.60908271
1529 018,1234 N GAY ST,BROADWAY EAST,12,EASTERN,8/21/15,39.30484712,-76.59351581
3407 025,2448 FRANCIS ST,PENN NORTH,7,WESTERN,5/5/10,39.31179481,-76.64117531
4544C038,3608 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,1/30/15,39.34676673,-76.68002478
1138 104,1404 N BETHEL ST,OLIVER,12,EASTERN,11/7/05,39.30662813,-76.59617824
3303 021,3107 OAKFORD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,4/10/13,39.34063653,-76.665698
2384 010,2819 MOSHER ST,MOSHER,9,WESTERN,5/27/11,39.29892216,-76.66432254
4578 012,3523 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,12/6/04,39.34684766,-76.67868818
0120 011,526 N FULTON AVE,HARLEM PARK,9,WESTERN,7/22/13,39.29453287,-76.64580811
6288 001,3400 MOUNT PLEASANT AVE,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,3/13/15,39.29098034,-76.56914094
4451 006,5809 HIGHGATE DR,GLEN,5,NORTHWESTERN,4/4/14,39.35700006,-76.68247313
0260 059,1812 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,2/13/15,39.28446178,-76.64560218
0128 066,524 N SCHROEDER ST,HARLEM PARK,9,WESTERN,3/17/09,39.29518731,-76.63437193
0412 006,1210 ARGYLE AVE,UPTON,11,CENTRAL,7/1/14,39.2989086,-76.63114596
1476A003,2508 E FEDERAL ST,BEREA,13,EASTERN,10/29/08,39.30923407,-76.58211747
0119 070,1909 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,11/21/07,39.29428699,-76.64791265
3006 016,2796 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,6/2/10,39.30946941,-76.66369585
2427 003,1804 N ROSEDALE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,5/1/09,39.30820337,-76.6695561
0769 123,1172 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,6/29/15,39.28209112,-76.6338794
8239 001,3800 GWYNN OAK AVE,HOWARD PARK,5,NORTHWESTERN,9/16/15,39.33518217,-76.69421888
0300C080,1552 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,4/10/12,39.30683276,-76.64142717
1160 016,1225 HARFORD AVE,OLIVER,12,EASTERN,10/17/14,39.3045676,-76.6016732
1521 014,2526 E PRESTON ST,BEREA,13,EASTERN,9/12/12,39.30605928,-76.58183236
0248 036,1314 W PRATT ST,UNION SQUARE,9,SOUTHERN,10/2/14,39.28572723,-76.63860954
0178 010,1819 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,11/29/07,39.29031072,-76.64602534
0708 070,414 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,5/17/07,39.2827889,-76.64151551
0089 034,1325 W LAFAYETTE AVE,HARLEM PARK,9,WESTERN,9/14/06,39.2988039,-76.63953645
1099A040,1207 E NORTH AVE,OLIVER,12,EASTERN,6/5/15,39.31152622,-76.60231057
1446 067,1722 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,12/20/13,39.31088308,-76.59372277
3327H001,2429 KEYWORTH AVE,GREENSPRING,6,NORTHERN,6/4/15,39.33487607,-76.65803976
1591 093,915 N PORT ST,MILTON-MONTFORD,13,EASTERN,7/31/15,39.30149872,-76.58298856
1454 010,2418 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,1/20/11,39.31127131,-76.58389869
8270 084,3817 BOWERS AVE,GROVE PARK,5,NORTHWESTERN,11/23/12,39.33814471,-76.70330276
1517 019,2036 E PRESTON ST,BROADWAY EAST,13,EASTERN,3/9/07,39.30576499,-76.58906987
1474 053,1611 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,2/14/11,39.3094639,-76.58412518
2388 032,1123 POPLAR GROVE ST,WINCHESTER,9,SOUTHWESTERN,4/26/13,39.30084425,-76.66496929
3301 115,3410 SAINT AMBROSE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,3/13/06,39.34124642,-76.67129532
1448 045,1929 E NORTH AVE,BROADWAY EAST,12,EASTERN,9/22/11,39.31205983,-76.59081247
0097 026,1725 W LANVALE ST,HARLEM PARK,9,WESTERN,9/25/08,39.29743853,-76.64504326
4020 008,714 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,12/30/09,39.31379113,-76.60793408
0128 005,1009 EDMONDSON AVE,HARLEM PARK,9,WESTERN,3/4/09,39.2953588,-76.63454968
0411 046,752 DOLPHIN ST,UPTON,11,CENTRAL,11/8/04,39.2974563,-76.63282677
3039 001C,3331 GWYNNS FALLS PKWY,WALBROOK,7,SOUTHWESTERN,3/5/12,39.31389837,-76.67401971
3400 042,1905 N FULTON AVE,PENN NORTH,7,WESTERN,1/12/11,39.31039235,-76.64607151
6291 014,127 S BOULDIN ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,5/1/15,39.2906808,-76.5707953
4552 022,3322 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,12/3/07,39.34823606,-76.67772318
3233 007,3112 AUCHENTOROLY TERR,PARKVIEW/WOODBROOK,7,WESTERN,6/5/14,39.31700395,-76.64681248
0249 028,109 S CAREY ST,HOLLINS MARKET,9,SOUTHERN,8/11/11,39.28615723,-76.63773811
2708 014,4002 OAKFORD AVE,WEST ARLINGTON,6,NORTHWESTERN,3/2/15,39.33604078,-76.68552806
0106 059,2005 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,1/15/09,39.29612463,-76.64933328
3936 005,2844 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,7/2/14,39.32235547,-76.58979327
0708 079,432 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,10/11/13,39.28249196,-76.64149747
4164 024,1413 CLIFTVIEW AVE,DARLEY PARK,14,EASTERN,4/22/08,39.31520527,-76.596039
3461 030,2436 LAKEVIEW AVE,RESERVOIR HILL,7,CENTRAL,9/7/01,39.31561149,-76.63296582
1446 100,1817 N REGESTER ST,BROADWAY EAST,12,EASTERN,6/20/06,39.31129654,-76.59382891
0696 098,2209 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHWESTERN,6/12/07,39.28102296,-76.65130992
2485 001E,3524 EDMONDSON AVE,EDGEWOOD,8,SOUTHWESTERN,4/28/15,39.29424688,-76.67670255
1162 021,1419 E PRESTON ST,OLIVER,12,EASTERN,7/28/10,39.30501599,-76.59899115
3322 009,3816 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,2/20/08,39.33240333,-76.66158512
1458 085,1717 N CHAPEL ST,BROADWAY EAST,12,EASTERN,4/13/12,39.31033365,-76.59081527
2406 041,1801 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,1/27/00,39.30827027,-76.66544751
3307A040,2603 ROSEWOOD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,7/28/15,39.33865319,-76.66426507
0053 057,1102 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,10/7/08,39.30124969,-76.64191983
1478 040,1518 N WOLFE ST,BROADWAY EAST,12,EASTERN,9/17/10,39.30804854,-76.59172507
1450 010,1819 N CHESTER ST,BROADWAY EAST,12,EASTERN,2/3/15,39.31139697,-76.58838513
2725 012,4107 CHATHAM ROAD,DORCHESTER,6,NORTHWESTERN,8/21/15,39.33017536,-76.68772626
1629 036,2910 E MONUMENT ST,MADISON-EASTEND,13,EASTERN,4/10/07,39.29926871,-76.57628084
3211 064,2006 N PAYSON ST,MONDAWMIN,7,WESTERN,5/19/05,39.31123908,-76.65023272
3214 047,2045 RUXTON AVE,MONDAWMIN,7,WESTERN,12/17/10,39.31194556,-76.6547887
1131 025,1426 HOLBROOK ST,OLIVER,12,EASTERN,11/14/12,39.30685849,-76.6033536
1570 054,2216 PRENTISS PL,MIDDLE EAST,13,EASTERN,5/24/07,39.30311657,-76.58643517
5165C012,722 MCCABE AVE,WOODBOURNE-MCCABE,4,NORTHERN,10/5/12,39.35240088,-76.60596347
3445 014,2226 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,7/9/13,39.31345833,-76.63170764
4002 003,804 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,5/22/12,39.31182832,-76.60688543
0125 018,534 N CAREY ST,HARLEM PARK,9,WESTERN,9/24/10,39.29509999,-76.63879233
0126 044,515 N CAREY ST,HARLEM PARK,9,WESTERN,11/6/14,39.29461502,-76.63817337
1549 012,1822 E CHASE ST,MIDDLE EAST,12,EASTERN,2/11/15,39.30351664,-76.5918568
0260 032,211 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,9/8/14,39.28473481,-76.6464987
2141 041,2648 DULANY ST,MILLHILL,9,SOUTHWESTERN,8/1/14,39.28011019,-76.65778437
0695 014,526 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,10/2/09,39.28087326,-76.6524791
7095A066,3951 BROOKLYN AVE,BROOKLYN,10,SOUTHERN,1/12/13,39.23121169,-76.60217211
0674 031,733 W PRATT ST,RIDGELY'S DELIGHT,11,SOUTHERN,7/18/13,39.28588253,-76.62684842
5643 010,6102 ALTA AVE,WESTFIELD,2,NORTHEASTERN,9/4/14,39.3541709,-76.54502735
1145 018,1304 AISQUITH ST,OLIVER,12,EASTERN,2/3/12,39.30524616,-76.60247185
1184 046,927 E CHASE ST,JOHNSTON SQUARE,12,EASTERN,4/29/08,39.30266698,-76.60406473
1661 060,520 N DECKER AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,4/4/15,39.29746407,-76.57460941
2808 026,2145 CHELSEA TERR,MOUNT HOLLY,7,SOUTHWESTERN,11/26/08,39.31231855,-76.68052168
0110 037,615 N MOUNT ST,HARLEM PARK,9,WESTERN,8/1/12,39.29588321,-76.64389741
0222 015,2129 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,8/14/08,39.28669844,-76.65075329
2532 038,420 ROSECROFT TERR,IRVINGTON,8,SOUTHWESTERN,3/18/09,39.2792031,-76.68289623
0837 015,1577 RIDGELY ST,CARROLL - CAMDEN INDUSTRIAL AREA,10,SOUTHERN,1/24/13,39.27408439,-76.62934459
2406 067,1712 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,7/7/06,39.30762678,-76.66376696
2396B012,1023 ASHBURTON ST,MOSHER,9,WESTERN,9/16/08,39.29990894,-76.66143797
3004 053,2919 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,2/10/05,39.30999827,-76.66643344
1621 075,713 N DUNCAN ST,MIDDLE EAST,13,EASTERN,4/16/08,39.29922135,-76.58717335
7081 023,3617 2ND ST,BROOKLYN,10,SOUTHERN,11/23/11,39.23724393,-76.60872892
1644 047,628 N STREEPER ST,MCELDERRY PARK,13,SOUTHEASTERN,12/6/13,39.2985287,-76.57750443
1669 050,2130 ORLEANS ST,CARE,13,EASTERN,4/25/13,39.29563739,-76.58670518
0227 036,1820 W LOMBARD ST,CARROLLTON RIDGE,9,SOUTHERN,4/29/08,39.28639126,-76.64612399
0194 047,14 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,11/10/05,39.28874597,-76.6441054
5933 044,4331 SEIDEL AVE,BELAIR-EDISON,2,NORTHEASTERN,8/22/14,39.32763525,-76.56129029
1549 005,1836 E CHASE ST,MIDDLE EAST,12,EASTERN,2/11/15,39.30352965,-76.59152618
7133 021,4120 AUDREY AVE,BROOKLYN,10,SOUTHERN,8/20/10,39.2302505,-76.60412669
3205 037,2128 HERBERT ST,MONDAWMIN,7,WESTERN,2/7/06,39.3103191,-76.65238067
1473 041,1606 N BRADFORD ST,BROADWAY EAST,13,EASTERN,2/4/14,39.309334,-76.58526644
3408 061,1524 RETREAT ST,PENN NORTH,7,WESTERN,1/11/12,39.31231102,-76.6429241
0992 016,1408 S HANOVER ST,SOUTH BALTIMORE,11,SOUTHERN,6/15/10,39.27333805,-76.6155888
3177 037,3807 TOWANDA AVE,PARK CIRCLE,6,NORTHWESTERN,6/6/14,39.33155978,-76.66334321
0276 006,1729 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,11/20/11,39.28414768,-76.64440421
0162 069,1940 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,3/10/15,39.29142908,-76.64856662
1101 074,1810 N DALLAS ST,OLIVER,12,EASTERN,3/9/10,39.31103569,-76.59783903
1463 029,2313 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,3/10/08,39.31085702,-76.58496092
3811 019,100 E 21ST ST,BARCLAY,12,NORTHERN,3/26/15,39.31352695,-76.61446238
3205 089,2108 W NORTH AVE,MONDAWMIN,7,WESTERN,9/8/10,39.30990507,-76.65167255
1108 065,1710 N DALLAS ST,OLIVER,12,EASTERN,11/18/11,39.30996347,-76.59776907
0155 085,1102 SARAH ANN ST,POPPLETON,9,WESTERN,3/17/06,39.29291686,-76.63599289
2216 035,505 N LONGWOOD ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,11/30/06,39.29326656,-76.66539982
2520A003,905 N WOODINGTON ROAD,EDMONDSON VILLAGE,8,SOUTHWESTERN,11/6/14,39.2979303,-76.68588909
2377A079,2751 RAYNER AVE,MOSHER,9,WESTERN,11/3/05,39.29605768,-76.6623707
1591 051,2403 E EAGER ST,MILTON-MONTFORD,13,EASTERN,11/18/13,39.30163923,-76.58370441
7522 007,2400 MARBOURNE AVE,LAKELAND,10,SOUTHERN,6/19/15,39.25377043,-76.65168516
0102 019,736 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,4/17/06,39.29776496,-76.63758957
3196 027,2806 WALDORF AVE,LUCILLE PARK,6,NORTHWESTERN,7/2/12,39.34001647,-76.67227678
2393 054,2723 WINCHESTER ST,WINCHESTER,9,SOUTHWESTERN,10/1/14,39.3012134,-76.66245541
0486 029,205 E PRESTON ST,MID-TOWN BELVEDERE,12,CENTRAL,5/15/12,39.30440968,-76.61272667
3445 021,811 NEWINGTON AVE,RESERVOIR HILL,7,CENTRAL,6/30/10,39.31337197,-76.63228383
0347 034,1620 DIVISION ST,UPTON,11,CENTRAL,12/18/07,39.30392308,-76.63337322
0431 032,1144 ARGYLE AVE,UPTON,11,CENTRAL,1/12/05,39.29841563,-76.63055855
0055C004,1107 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,6/15/08,39.30141242,-76.63858459
0227 053,40 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,8/10/06,39.28668706,-76.6454632
5953K038,4701 VALLEY VIEW AVE,FRANKFORD,2,NORTHEASTERN,6/27/14,39.33026445,-76.55114626
0277 062,1609 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,9/28/11,39.28419269,-76.6426829
4059 003,3623 OLD YORK ROAD,WAVERLY,14,NORTHERN,2/11/14,39.33320689,-76.60746216
2205 028,2408 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,4/21/11,39.29423683,-76.65510889
7437 013,2206 SIDNEY AVE,WESTPORT,10,SOUTHERN,6/5/15,39.26403328,-76.63265135
2736 014,4000 SPRINGDALE AVE,CENTRAL FOREST PARK,6,NORTHWESTERN,6/3/08,39.32643921,-76.6870698
3902 042,530 ROSE HILL TERR,PEN LUCY,4,NORTHERN,12/18/13,39.33885578,-76.60778235
0265 032,225 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,6/5/08,39.28488301,-76.63909489
3823 012,303 E 24TH ST,BARCLAY,12,EASTERN,8/11/08,39.31632753,-76.61256407
0008 068,1810 PRESBURY ST,SANDTOWN-WINCHESTER,7,WESTERN,6/10/09,39.30805757,-76.64791274
1473 054,1619 N BRADFORD ST,BROADWAY EAST,13,EASTERN,3/25/15,39.309562,-76.58489543
0013A029,1601 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,8/13/13,39.30672365,-76.64772097
2548 025,4218 CONNECTICUT AVE,IRVINGTON,8,SOUTHWESTERN,3/26/14,39.28447236,-76.68646576
4164 005,1408 DARLEY AVE,DARLEY PARK,14,EASTERN,3/21/05,39.31520688,-76.59651669
1152 038,1224 BRENTWOOD AVE,JOHNSTON SQUARE,12,EASTERN,3/20/14,39.30458461,-76.60943442
0106 074,608 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,6/4/15,39.29555154,-76.64932262
1539 003,2605 E PRESTON ST,BEREA,13,EASTERN,5/6/11,39.30570714,-76.58078027
1625 070,704 N ROSE ST,MILTON-MONTFORD,13,EASTERN,1/8/08,39.29926143,-76.58180074
0778 025,1358 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,8/9/12,39.27914544,-76.63549211
3357H010,2274 DRUID PARK DR,WOODBERRY,7,NORTHERN,9/21/12,39.33080901,-76.6532366
0265 017,1333 W PRATT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,9/27/13,39.28534354,-76.63893183
4003 007,912 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,3/3/08,39.31188875,-76.60570938
0003 044,1823 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,7/3/07,39.30930526,-76.64785728
4607 055,3517 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,2/23/12,39.3428506,-76.67390179
0304 040,2209 DRUID HILL AVE,DRUID HEIGHTS,7,CENTRAL,3/27/08,39.30939841,-76.63740336
3210 065,2014 N MONROE ST,MONDAWMIN,7,WESTERN,7/13/07,39.31153106,-76.64851179
1651 018,2019 MCELDERRY ST,CARE,13,EASTERN,5/16/13,39.29729002,-76.58850706
1484 011,1521 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,1/8/07,39.30830716,-76.58547045
3803 030,339 E 20TH ST,BARCLAY,12,EASTERN,2/26/08,39.3122119,-76.61119318
0106 079,601 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,2/3/12,39.29539427,-76.64960724
0264 014,213 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,8/24/13,39.28511483,-76.64053283
4616 049,4835 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/13/14,39.34633776,-76.67186289
3534 120,700 BUNNECKE ST,HAMPDEN,14,NORTHERN,6/19/15,39.32960436,-76.62838159
1155 034,739 E PRESTON ST,JOHNSTON SQUARE,12,EASTERN,5/21/13,39.30467285,-76.60707317
0097 053,1722 HARLEM AVE,HARLEM PARK,9,WESTERN,6/22/10,39.29667482,-76.6450594
0185 204,118 N CARLTON ST,POPPLETON,9,WESTERN,9/6/07,39.29047549,-76.6362604
2179 009,2516 MCHENRY ST,SHIPLEY HILL,9,SOUTHWESTERN,10/8/08,39.28411802,-76.65655677
2176 017,2517 W LOMBARD ST,SHIPLEY HILL,9,SOUTHWESTERN,8/27/07,39.28556723,-76.65657409
2380 054,2831 W LANVALE ST,MOSHER,9,WESTERN,2/14/11,39.29693467,-76.66372389
0148 021,1810 W SARATOGA ST,FRANKLIN SQUARE,9,WESTERN,4/19/10,39.2921998,-76.64579669
0086 026,812 N GILMOR ST,HARLEM PARK,9,WESTERN,1/10/13,39.2983308,-76.64318913
2171 005,2509 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,11/17/06,39.28752815,-76.65648467
3168 018,2817 NORFOLK AVE,PARK CIRCLE,6,NORTHWESTERN,7/20/11,39.32762834,-76.66067721
