blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
1521 042,1314 N LUZERNE AVE,BEREA,13,EASTERN,2/3/15,39.30625299,-76.58159744
0218 001,1001 W BALTIMORE ST,HOLLINS MARKET,9,SOUTHERN,9/28/12,39.28845284,-76.63422685
0336 039,638 PITCHER ST,UPTON,11,CENTRAL,12/12/11,39.30237819,-76.63536007
1590 058,902 N MONTFORD AVE,MILTON-MONTFORD,13,EASTERN,5/21/14,39.30104741,-76.58409581
1177 032,1125 N CAROLINE ST,GAY STREET,12,EASTERN,8/10/15,39.30388784,-76.59754687
1138 103,1402 N BETHEL ST,OLIVER,12,EASTERN,11/7/05,39.3065965,-76.59617639
2366 014,2506 MOSHER ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,5/18/11,39.29979674,-76.65690274
2154 022,2324 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,2/19/09,39.28943289,-76.6538807
2521 045,915 WILDWOOD PKWY,EDMONDSON VILLAGE,8,SOUTHWESTERN,8/19/15,39.29825751,-76.68354176
1613 010,819 N LINWOOD AVE,MADISON-EASTEND,13,EASTERN,8/7/15,39.30058495,-76.57649966
2523B008,915 ALLENDALE ST,EDGEWOOD,8,SOUTHWESTERN,11/7/14,39.29846881,-76.67838772
4011B033,2042 ROBB ST,EAST BALTIMORE MIDWAY,12,EASTERN,2/1/07,39.31384994,-76.60300251
0122 005,510 N GILMOR ST,HARLEM PARK,9,WESTERN,9/1/05,39.29429774,-76.64293575
0223 015,2029 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,4/22/10,39.28684108,-76.64939598
3347C008,2644 OSWEGO AVE,GREENSPRING,6,NORTHERN,3/28/12,39.33637857,-76.6621162
0178 026,111 N MONROE ST,FRANKLIN SQUARE,9,WESTERN,10/24/06,39.28998369,-76.6467846
2447 037,3012 MOSHER ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,2/13/15,39.29951598,-76.6681536
0147 008,1915 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,11/14/14,39.29270938,-76.64768486
0077 044,1318 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,10/26/06,39.29927452,-76.63934338
0059 040,1013 N MONROE ST,SANDTOWN-WINCHESTER,9,WESTERN,8/20/07,39.30040586,-76.64734343
4048 062A,3510 OLD YORK ROAD,WAVERLY,14,NORTHERN,6/29/15,39.33153177,-76.60826618
3190 004,4406 TOWANDA AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,2/24/09,39.33887181,-76.66955177
3408 059,1520 RETREAT ST,PENN NORTH,7,WESTERN,11/29/10,39.31234847,-76.64285939
0199 017,1211 W FAYETTE ST,POPPLETON,9,WESTERN,3/31/10,39.28954865,-76.63728086
0055D023,1107 WINCHESTER ST,SANDTOWN-WINCHESTER,9,WESTERN,1/5/07,39.30233376,-76.63688065
4041A036,619 GUTMAN AVE,EAST BALTIMORE MIDWAY,12,EASTERN,9/16/10,39.3173468,-76.60715063
1606 054,2232 E MADISON ST,MIDDLE EAST,13,EASTERN,8/12/10,39.29995984,-76.58567027
4041 038,627 BARTLETT AVE,EAST BALTIMORE MIDWAY,12,EASTERN,9/23/11,39.31654367,-76.60727121
4164A082,1678 DARLEY AVE,DARLEY PARK,12,EASTERN,8/9/07,39.31487516,-76.5941804
3326 002,3402 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,2/6/12,39.32617516,-76.65792372
0013A010,1606 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,9/30/09,39.30708799,-76.64742625
1131 010,1018 E HOFFMAN ST,OLIVER,12,EASTERN,3/2/11,39.30626483,-76.60326678
1137 037,1405 N CAROLINE ST,OLIVER,12,EASTERN,7/12/12,39.30648121,-76.59783073
0017 033,1504 BAKER ST,SANDTOWN-WINCHESTER,7,WESTERN,12/4/07,39.30695399,-76.64251683
0421 017,211 W LANVALE ST,BOLTON HILL,11,CENTRAL,12/27/11,39.30556407,-76.62322879
0696 054,515 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,4/6/09,39.28117391,-76.65212085
1447 001,1801 RUTLAND AVE,BROADWAY EAST,12,EASTERN,6/18/09,39.31106866,-76.59272982
0338 014,1726 DIVISION ST,UPTON,11,CENTRAL,10/29/07,39.30460765,-76.63424246
